UserId,TotalCompetitions,TotalSubmissions,UserPoints,UserPointsMultiplier
672,1,2,3701.95324,3701.95324
673,1,4,4630.803172,4630.803172
674,1,1,7985.116911,7985.116911
680,10,78,17516.37268,13360.25378
684,5,69,25536.82616,25536.82616
686,1,10,453.7769748,453.7769748
693,2,3,2131.377182,2131.377182
694,2,10,3588.786505,3588.786505
701,6,38,50598.29321,33838.68335
703,4,30,21658.16585,21658.16585
710,4,41,15698.47401,15698.47401
711,2,3,4259.748835,4259.748835
713,4,47,15037.44054,15037.44054
717,1,2,1737.352745,1737.352745
722,1,11,6618.435171,6618.435171
726,5,146,30091.44185,30091.44185
727,11,119,20887.99572,20887.99572
728,3,20,10504.10408,10504.10408
729,1,3,1654.737705,1654.737705
742,1,4,1290.255382,1290.255382
745,2,26,23132.90616,23132.90616
747,6,13,16006.94265,12922.33853
751,1,4,4485.323461,4485.323461
752,1,1,1160.293987,1160.293987
755,1,3,326.8323515,326.8323515
758,1,2,401.5331686,0
763,6,239,23581.31024,14879.69097
764,5,19,3301.712257,2805.09881
765,1,2,895.2816486,895.2816486
766,5,50,5822.286008,4666.065145
768,4,59,3317.555789,3317.555789
769,8,121,8350.628698,6691.367925
770,5,27,6154.748028,5262.559799
774,1,2,935.0240154,935.0240154
776,3,65,19693.12069,19693.12069
778,4,54,26329.75931,13461.3977
784,4,18,9078.858828,6514.932087
786,2,9,4732.929215,3311.203967
787,2,4,3647.617311,3647.617311
791,2,4,1968.105544,1968.105544
792,10,258,19441.62033,19441.62033
798,8,153,11337.49843,11337.49843
801,1,3,2626.06299,2626.06299
803,1,1,1072.457588,1072.457588
808,88,5991,323644.8779,296584.6077
811,3,4,12131.11001,12131.11001
816,1,1,22585.32126,22585.32126
817,2,6,2304.652927,1331.315066
819,2,4,12194.87483,12194.87483
820,1,1,3208.093966,3208.093966
821,1,1,11782.64602,11782.64602
825,1,1,1752.841854,1752.841854
829,12,168,44012.36238,33215.474
831,3,18,2121.729535,2121.729535
833,1,2,1377.035245,1377.035245
835,12,179,114834.3018,112880.8825
838,1,1,1526.550475,1526.550475
839,1,1,4983.452522,4983.452522
840,1,1,6288.604113,6288.604113
842,2,4,4586.047396,4586.047396
851,1,1,2249.544903,1124.772452
855,11,50,32860.59194,26085.57555
863,1,1,4747.978922,4747.978922
873,2,24,2350.156223,2350.156223
875,2,2,3898.23458,3898.23458
877,2,20,4046.935979,4046.935979
879,1,1,3208.093966,3208.093966
882,9,49,11904.84338,11904.84338
887,3,55,24806.24019,24806.24019
894,1,1,4346.547104,4346.547104
895,1,1,2668.631726,1334.315863
896,1,1,7309.991757,7309.991757
898,1,1,3871.990635,3871.990635
899,1,1,8032.602355,8032.602355
902,1,1,8032.602355,8032.602355
903,1,1,5891.323008,5891.323008
914,3,10,12022.44019,7710.446582
917,1,1,3739.226378,3739.226378
926,31,437,77543.60745,71396.32697
930,1,11,7543.38484,7543.38484
933,11,81,19597.57851,19597.57851
949,3,15,3819.234278,3001.545109
953,2,7,1896.242136,1896.242136
956,1,8,366.4367403,366.4367403
962,1,4,1549.622106,1549.622106
963,1,4,1835.404874,1835.404874
970,1,4,3532.374527,3532.374527
971,2,155,3025.674373,1912.280384
973,1,1,1722.179284,1722.179284
978,1,1,3177.711764,3177.711764
986,1,10,498.6988636,498.6988636
987,1,18,437.7133769,437.7133769
991,1,1,3614.845294,3614.845294
993,39,395,178596.8471,138306.418
996,1,2,1611.039946,1611.039946
998,2,19,6538.111799,5381.047529
999,3,48,3428.924607,3428.924607
1000,1,6,2314.095107,2314.095107
1002,4,42,21428.83827,6722.908455
1004,48,782,140134.9323,132455.1808
1009,1,2,343.5610005,343.5610005
1010,1,17,281.6213943,0
1021,1,1,4738.244746,2369.122373
1022,7,51,16913.82863,13951.49588
1031,1,1,2579.173757,1289.586878
1033,2,4,3367.412019,3367.412019
1035,4,56,4401.378584,4658.636135
1037,1,2,1637.236163,1637.236163
1045,11,30,27373.47532,26022.08587
1053,1,1,5879.244779,2939.62239
1055,2,7,2218.279587,2218.279587
1058,1,1,2716.145424,1358.072712
1063,1,1,3254.651795,1627.325897
1066,1,1,5601.444013,2800.722006
1067,1,1,6545.343936,3272.671968
1069,1,1,2104.99456,1052.49728
1071,1,1,7419.001734,3709.500867
1076,1,1,2987.023872,1493.511936
1077,7,46,11775.9243,5980.460395
1087,1,1,2457.304967,1228.652483
1088,1,1,7968.746043,3984.373022
1092,1,1,2537.006692,1268.503346
1093,1,1,26645.1083,13322.55415
1101,1,5,934.2410111,9.34E-14
1114,1,15,1337.612235,1337.612235
1120,1,1,15843.27618,7921.638091
1123,1,2,364.1934072,364.1934072
1125,1,1,4132.677875,2066.338938
1127,3,13,7150.483858,5958.878389
1133,1,1,5352.458337,2676.229168
1136,1,1,736.1101473,736.1101473
1138,1,1,736.1101473,736.1101473
1146,1,1,3495.819861,1747.909931
1147,1,5,399.6999747,399.6999747
1150,1,1,3114.145882,1557.072941
1155,2,11,850.4802256,419.1682214
1167,2,13,3924.255467,2814.855947
1168,1,1,4567.993901,2283.996951
1169,1,1,3681.471671,1840.735836
1170,1,1,13401.77996,6700.889982
1173,1,3,909.7788699,909.7788699
1174,1,1,3182.590768,1591.295384
1179,2,23,5411.954835,3466.01244
1188,1,1,1434.105897,717.0529483
1193,1,1,19658.43973,9829.219867
1201,1,1,2003.939355,1001.969677
1206,1,1,2871.385687,1435.692843
1207,3,21,11158.97317,7683.819155
1209,5,18,16825.52886,10981.03976
1211,1,1,1461.888891,1461.888891
1213,1,3,1988.57251,1988.57251
1215,1,1,736.1101473,736.1101473
1216,1,1,44811.5521,22405.77605
1218,1,1,2160.149678,1080.074839
1221,3,56,18515.44799,13309.06082
1222,1,1,1304.585799,1304.585799
1228,2,5,9931.204817,4965.602409
1230,1,1,4266.719665,2133.359832
1231,3,12,9737.997794,6642.261463
1236,1,5,1829.437472,1829.437472
1237,1,2,1721.647585,1721.647585
1238,5,41,13781.33115,13781.33115
1240,3,7,10392.18138,5155.876475
1242,1,1,2189.016153,1094.508076
1249,1,1,3330.638537,1665.319269
1258,2,3,2975.057611,1765.25942
1262,1,1,3585.844794,1792.922397
1266,1,1,1434.105897,717.0529483
1269,1,1,2817.377182,1408.688591
1270,1,1,3783.268491,1891.634245
1273,1,1,4924.076435,2462.038218
1274,1,1,2496.413906,1248.206953
1275,8,41,6020.517287,6020.517287
1282,8,73,22798.11198,21944.66673
1283,1,1,878.1901374,878.1901374
1291,1,3,158.2786463,158.2786463
1294,1,1,847.6420995,847.6420995
1295,1,7,119.4835093,119.4835093
1298,2,31,3535.306895,3535.306895
1300,16,451,70677.76883,58815.83107
1307,1,47,2076.8068,2076.8068
1308,1,2,1927.651006,1927.651006
1311,5,92,13481.0819,11079.71627
1312,1,8,5809.189024,5809.189024
1314,1,4,610.9327256,610.9327256
1322,2,62,3912.649431,3912.649431
1332,1,1,736.1101473,736.1101473
1333,1,60,2292.376292,2292.376292
1335,18,1094,190417.7265,161940.7156
1338,1,1,1130.238684,0
1344,4,90,6596.763712,6596.763712
1345,5,26,6824.426993,6026.230533
1354,3,21,3210.985964,3210.985964
1356,6,32,59556.41233,59714.0134
1369,1,3,1738.141049,1738.141049
1373,7,40,12015.88103,12015.88103
1374,1,2,1692.739759,1692.739759
1375,3,96,4862.712928,4862.712928
1376,2,157,28182.48584,28182.48584
1382,3,13,4185.017244,4185.017244
1384,1,5,378.9807439,378.9807439
1393,1,8,2375.807117,2375.807117
1394,1,1,1784.809257,1784.809257
1398,14,242,28934.15984,26200.44439
1407,1,22,2148.176878,2148.176878
1412,10,175,20990.29092,20990.29092
1420,2,6,4399.473142,4399.473142
1422,1,1,1573.524098,1573.524098
1425,1,34,1182.665667,1182.665667
1428,1,7,1973.922931,1973.922931
1434,1,1,1160.293987,1160.293987
1444,1,1,300.8924303,300.8924303
1455,40,1690,226993.0058,199674.617
1457,1,7,320.6867717,320.6867717
1458,7,111,14242.87485,14242.87485
1461,1,34,20448.65297,20448.65297
1465,2,2,513.4445207,513.4445207
1468,1,14,2201.194566,2201.194566
1473,1,2,2675.461073,2675.461073
1474,2,25,1216.544654,1216.544654
1475,4,39,9515.503282,7019.957242
1476,1,6,529.9545961,529.9545961
1477,3,23,8824.413974,7487.348321
1479,1,10,2802.545978,2802.545978
1481,5,119,10741.38247,8855.771212
1482,6,58,17925.66601,17925.66601
1483,35,943,244834.7379,226877.2914
1485,1,2,2598.259315,2598.259315
1486,4,78,16879.68472,16879.68472
1491,3,22,3406.126944,2413.640978
1493,1,1,1267.834706,1267.834706
1494,1,3,1471.07192,1471.07192
1496,4,10,762.0985456,762.0985456
1502,7,34,16402.08726,16402.08726
1505,1,19,195.3037756,195.3037756
1517,1,5,2056.754131,2056.754131
1522,1,24,204.9729386,204.9729386
1523,2,15,3649.243397,2662.850782
1526,1,5,4639.462925,4639.462925
1527,1,8,2197.561927,2197.561927
1534,6,49,31049.58766,29840.31305
1538,3,20,3792.88831,3792.88831
1539,2,135,29915.40702,29915.40702
1540,1,5,2490.887554,2490.887554
1542,1,34,20448.65297,20448.65297
1550,2,5,1750.622748,1750.622748
1551,1,3,1095.458397,1095.458397
1552,1,25,640.6346575,640.6346575
1553,24,170,82032.21076,69347.03786
1554,1,3,2255.998265,2255.998265
1555,1,4,1666.403809,1666.403809
1557,2,14,1586.522159,1586.522159
1576,8,19,19943.50723,20484.25139
1582,1,9,3309.217586,3309.217586
1588,1,12,484.1031419,484.1031419
1590,1,3,963.337141,963.337141
1594,1,8,1533.677921,1533.677921
1596,5,25,6051.14852,6051.14852
1599,2,11,11676.87122,10703.78914
1600,3,14,5770.223637,5770.223637
1602,15,438,156560.1504,139151.4612
1607,1,4,735.1373726,735.1373726
1613,1,1,1160.293987,1160.293987
1617,1,7,1644.657168,1644.657168
1621,1,1,1679.824567,1679.824567
1623,4,25,11843.81029,8567.666242
1624,2,26,6056.006309,2338.399038
1625,1,19,559.7809245,559.7809245
1628,1,14,908.733314,908.733314
1631,6,55,50545.13816,19672.7233
1634,3,10,5677.510421,5677.510421
1643,1,142,701.766282,701.766282
1650,3,30,3234.100207,999.8183419
1653,1,11,574.251706,574.251706
1654,1,1,1707.311477,1707.311477
1655,5,20,10694.14569,9615.316016
1664,25,1065,177119.9461,174834.8681
1666,1,36,1098.197597,1098.197597
1667,1,6,1544.724858,1544.724858
1668,1,6,2276.839266,2276.839266
1670,1,8,1423.254769,1423.254769
1673,2,19,2093.424127,2093.424127
1676,1,1,1585.801318,1585.801318
1679,2,22,3151.038587,3151.038587
1680,5,65,11584.85312,8950.969578
1682,1,94,1993.846199,1993.846199
1692,1,37,6950.725107,6950.725107
1694,1,4,3454.16446,3454.16446
1695,3,18,5091.426814,5091.426814
1696,1,2,408.4407735,408.4407735
1697,2,20,3070.849329,2495.784716
1700,6,77,6582.782754,6582.782754
1703,8,62,7860.794935,7860.794935
1706,3,253,3063.867708,3063.867708
1716,2,43,3226.077041,3226.077041
1718,6,94,12616.24787,12616.24787
1723,4,45,6275.074412,4143.732685
1726,1,1,1353.816728,1353.816728
1727,10,157,19946.45728,19946.45728
1736,1,2,765.7128396,765.7128396
1741,1,6,1693.776159,1693.776159
1743,1,19,1387.523046,1387.523046
1744,15,713,99117.17734,93001.18633
1746,3,13,8857.299598,7749.001241
1751,8,44,20117.85032,20117.85032
1762,1,10,1920.720103,1920.720103
1767,13,292,30568.56018,39972.53554
1769,1,6,287.4262657,287.4262657
1770,1,5,1396.258785,1396.258785
1774,1,1,780.2880051,780.2880051
1782,2,5,1119.962072,1119.962072
1791,1,1,2597.907191,2597.907191
1811,2,21,4931.515469,3801.960868
1814,2,6,1320.236687,1320.236687
1815,1,2,706.0710163,176.5177541
1818,1,7,2586.572738,2586.572738
1820,2,61,3488.166572,3488.166572
1822,5,30,7682.976143,7682.976143
1828,4,22,7255.439757,4294.245057
1829,1,2,4247.20591,4247.20591
1834,1,7,917.2434958,45.86217479
1843,1,2,1247.376408,62.36882041
1849,1,4,3001.679413,3001.679413
1857,1,1,323.4248974,323.4248974
1858,1,2,5344.252861,5344.252861
1859,1,3,1598.304401,1598.304401
1860,1,5,852.1301434,852.1301434
1864,1,1,3286.914765,3286.914765
1869,1,7,7797.034698,7797.034698
1877,2,3,6736.899617,6736.899617
1881,2,100,22029.32956,22029.32956
1885,1,7,657.4073787,657.4073787
1886,6,220,12748.22357,12748.22357
1887,2,5,334.2615262,334.2615262
1889,37,591,61089.14282,52724.52323
1895,20,143,15085.4663,12310.86184
1896,1,3,2363.127374,2363.127374
1897,11,131,23506.69034,23506.69034
1900,1,10,233.8776796,233.8776796
1902,15,352,165872.0771,112169.7249
1911,1,2,1291.801223,1291.801223
1912,6,65,5003.903891,3360.626898
1915,1,6,1035.094368,1035.094368
1921,6,34,2052.822261,2052.822261
1926,2,3,4361.162535,2819.238074
1927,16,692,53059.45494,43284.65914
1934,1,4,1984.169055,1984.169055
1940,1,6,2846.837591,2846.837591
1941,6,777,33841.46865,33841.46865
1943,3,14,3100.88226,3100.88226
1950,3,7,2360.23964,3163.987039
1951,5,61,14212.63612,11917.03474
1955,11,697,57195.2901,58315.52123
1962,2,31,3692.73009,1590.838672
1968,1,21,2425.046095,2425.046095
1972,1,42,278.5047056,278.5047056
1974,4,51,7149.081978,7149.081978
1979,1,4,91.50628065,91.50628065
1980,2,6,1624.136256,1624.136256
1981,1,3,901.5112626,901.5112626
1983,15,121,21013.91104,19651.21413
1988,3,95,9795.644313,9795.644313
1990,1,8,6719.797292,6719.797292
1995,1,10,1075.726205,1075.726205
1996,25,510,63719.32557,62768.95288
1997,2,8,3526.599378,3526.599378
1998,1,1,2475.969536,2475.969536
1999,1,1,2100.36246,2100.36246
2001,1,10,1075.726205,1075.726205
2003,1,4,1988.421442,1988.421442
2004,1,1,455.8823071,455.8823071
2005,1,1,1018.072988,1018.072988
2008,1,2,1377.035245,1377.035245
2011,1,1,210.1814652,210.1814652
2015,23,263,27046.22985,24760.72866
2017,1,1,1128.859516,1128.859516
2018,5,65,14716.51418,14716.51418
2023,1,4,1500.540027,1500.540027
2027,3,28,8594.023358,7683.051685
2030,1,24,3462.85017,3462.85017
2031,2,27,9384.112015,9384.112015
2032,2,16,2050.5676,981.160064
2035,1,2,988.9272761,988.9272761
2036,53,4272,182119.6322,176264.4062
2039,1,6,1186.579919,1186.579919
2044,1,17,1713.828752,1713.828752
2045,1,1,880.9560924,880.9560924
2046,7,83,12108.64581,12108.64581
2047,2,5,2228.691982,2228.691982
2049,3,10,1139.606421,1139.606421
2055,1,14,1041.569483,1041.569483
2056,6,62,7873.218545,7217.006079
2057,7,24,11797.51017,11070.25993
2062,2,94,3766.963239,3766.963239
2070,3,4,2241.43005,2241.43005
2076,8,117,12566.62199,11603.08074
2080,1,5,1119.057504,1119.057504
2081,8,281,103265.1573,80983.4413
2083,1,1,870.0124283,870.0124283
2086,1,2,590.609455,590.609455
2088,5,40,23820.47036,16305.77072
2089,2,54,4454.451856,4454.451856
2090,1,6,4092.961966,4092.961966
2091,1,12,2838.961336,2838.961336
2097,5,25,7400.250312,7400.250312
2100,4,80,51621.61236,26990.97562
2104,4,49,13991.01265,12645.99581
2107,1,5,2305.308383,2305.308383
2108,1,1,974.6293373,974.6293373
2111,1,1,954.0621159,954.0621159
2112,1,7,1164.80733,1164.80733
2116,2,12,1391.626461,1391.626461
2122,1,4,957.4195219,957.4195219
2123,3,13,5554.77248,4279.404838
2125,6,75,15658.09018,15658.09018
2126,1,4,1906.877467,1906.877467
2129,1,11,1890.223433,1890.223433
2130,1,27,2882.304907,2882.304907
2134,5,84,7844.737998,7844.737998
2135,1,2,1571.601618,1571.601618
2136,1,23,977.0680852,977.0680852
2137,3,37,8559.665108,8559.665108
2138,1,10,1782.480427,1782.480427
2140,18,2373,157025.4476,157025.4476
2141,1,2,843.9885903,843.9885903
2142,1,1,1011.318818,1011.318818
2143,1,1,2220.872274,2220.872274
2145,6,327,35694.11274,34094.58121
2148,1,3,1100.036337,1100.036337
2149,1,2,1941.236336,1941.236336
2153,1,4,5082.660529,5082.660529
2155,1,6,334.817286,334.817286
2157,1,5,1259.997501,62.99987503
2162,1,2,971.1297676,971.1297676
2163,4,105,5806.429453,5463.345964
2170,1,5,849.0474748,849.0474748
2174,1,2,1688.05651,1688.05651
2182,1,2,590.609455,590.609455
2186,1,5,1181.04807,1181.04807
2187,1,8,1394.584065,1394.584065
2190,1,2,1873.904878,1873.904878
2191,1,58,4271.579393,4271.579393
2193,1,2,590.609455,590.609455
2194,3,203,26704.50672,26704.50672
2195,1,7,5319.289693,5319.289693
2197,1,5,1582.403037,1582.403037
2198,2,42,6264.650667,6264.650667
2206,1,1,1363.007515,1363.007515
2207,1,1,2643.108334,2643.108334
2209,1,10,1251.691433,1251.691433
2210,1,6,1203.544747,1203.544747
2215,2,9,5941.384497,5941.384497
2218,2,48,6470.579813,6470.579813
2221,1,6,1145.240506,1145.240506
2226,3,10,6477.155682,6477.155682
2228,1,11,1615.874332,1615.874332
2230,1,3,1590.58291,1590.58291
2232,1,1,1828.293197,1828.293197
2233,9,1340,65232.85981,65232.85981
2236,1,1,903.8390567,903.8390567
2237,1,1,996.2617443,996.2617443
2242,62,3880,191087.4096,178416.6759
2245,1,16,7522.611626,7522.611626
2246,2,75,10772.66515,10772.66515
2248,2,11,3419.295576,3419.295576
2249,2,6,12119.75777,6059.878887
2257,1,17,3022.168032,3022.168032
2261,1,2,1295.700068,1295.700068
2264,1,1,252.2883993,252.2883993
2265,1,3,1055.615543,1055.615543
2267,1,4,3151.627919,1575.81396
2271,1,4,908.2164388,45.41082194
2276,1,3,1051.401505,1051.401505
2277,1,3,981.7175748,981.7175748
2281,1,7,3847.755895,3847.755895
2285,1,8,2014.497175,2014.497175
2293,4,249,5406.126493,5406.126493
2306,1,3,1015.166579,1015.166579
2307,7,76,17539.06833,15968.12089
2311,1,82,2507.540594,2507.540594
2315,2,72,4596.600256,4596.600256
2320,1,3,1221.08653,1221.08653
2323,2,56,2807.085747,2807.085747
2325,1,12,183.303723,183.303723
2329,1,16,4952.324901,4952.324901
2334,2,3,3302.110142,3302.110142
2338,1,12,1192.172605,1192.172605
2340,6,243,13177.252,13177.252
2351,1,5,1765.983739,1765.983739
2353,1,1,2472.126747,1236.063373
2361,1,5,3222.987877,1611.493938
2369,1,2,859.3808083,859.3808083
2370,1,6,1302.655203,1302.655203
2371,2,15,2301.107814,1864.514885
2374,1,5,1748.90731,1748.90731
2383,2,10,1915.289978,1915.289978
2388,1,14,736.8598328,736.8598328
2391,7,39,14389.20534,13898.91824
2392,1,7,2050.177352,1025.088676
2395,3,8,5426.971698,5426.971698
2396,1,11,1090.805221,1090.805221
2400,1,4,892.2264384,892.2264384
2403,7,186,46027.68382,44543.82326
2406,1,8,816.1893381,816.1893381
2409,1,3,158.6108414,158.6108414
2412,10,157,105272.8993,105272.8993
2417,4,96,11146.00296,11146.00296
2418,1,1,1550.506046,1550.506046
2423,1,4,1740.538188,1740.538188
2428,5,40,23685.09001,14676.33093
2433,1,24,12404.04837,12404.04837
2440,1,1,2597.494397,1298.747199
2447,1,2,1064.163074,1064.163074
2448,1,17,1670.373475,417.5933687
2452,1,1,168.2158168,168.2158168
2454,2,12,3733.959998,3733.959998
2460,2,3,1540.076591,1540.076591
2461,1,15,2115.744358,2115.744358
2462,2,9,3785.205302,3785.205302
2471,2,6,1727.302014,1727.302014
2473,6,88,10160.85532,10160.85532
2476,1,2,1197.827187,1197.827187
2478,1,8,947.4289865,947.4289865
2479,2,5,1120.301395,1120.301395
2485,1,107,7539.785798,7539.785798
2487,2,7,1844.257046,1068.497755
2489,1,7,633.4892733,633.4892733
2493,3,5,10760.56177,6442.500848
2494,1,4,1768.239512,1768.239512
2495,2,7,4693.55142,3513.538865
2496,2,14,4449.233606,2970.251778
2497,1,5,2094.551454,2094.551454
2498,3,61,29210.95863,29210.95863
2499,1,8,3356.154827,3356.154827
2500,1,12,1239.236712,1239.236712
2502,1,162,15964.6528,15964.6528
2505,10,72,16044.02594,4993.111983
2507,1,3,4615.873113,0
2509,7,48,3791.91668,2733.598078
2516,7,76,9196.277286,9196.277286
2517,1,7,1386.530626,1386.530626
2521,4,31,12150.02506,12150.02506
2523,1,56,1857.911304,1857.911304
2524,1,6,975.2094459,975.2094459
2525,14,60,30754.85712,21586.92708
2528,1,9,1454.176454,1454.176454
2535,3,22,2962.150834,1863.54446
2536,2,10,2019.136132,2019.136132
2539,1,1,889.3773899,889.3773899
2542,1,10,1540.203651,1540.203651
2543,2,8,7803.404504,3901.702252
2544,1,10,1075.726205,1075.726205
2545,1,3,1560.970685,1560.970685
2547,2,5,2310.133702,2310.133702
2550,1,25,10713.12927,0
2551,1,10,699.2873973,699.2873973
2552,2,5,2743.308237,2743.308237
2553,2,5,2288.313448,2288.313448
2558,1,1,3558.243692,3558.243692
2561,5,125,36665.64973,20700.48551
2562,2,19,13402.30372,13402.30372
2565,1,3,223.1107632,223.1107632
2574,1,2,1727.063001,1727.063001
2585,2,3,922.5365376,922.5365376
2589,5,133,7007.422323,7007.422323
2590,1,2,1378.913781,1378.913781
2591,9,237,105755.5986,101071.4448
2596,1,10,2393.619667,2393.619667
2599,1,40,1736.135569,1736.135569
2602,1,5,1653.230603,1653.230603
2604,15,343,18481.24682,16735.92404
2605,4,50,6786.458215,3964.98577
2608,1,1,302.9902997,0
2618,1,1,1264.442195,1264.442195
2619,3,26,2373.965284,1496.755308
2620,1,3,1441.941035,1441.941035
2623,1,16,5579.93486,2789.96743
2624,2,28,4467.088331,4467.088331
2626,1,7,282.0337895,282.0337895
2631,1,4,116.8392814,116.8392814
2633,1,1,380.9236464,380.9236464
2641,7,170,35145.64015,35145.64015
2645,2,2,5474.838484,5474.838484
2650,2,7,898.589106,898.589106
2658,1,2,1510.231378,1510.231378
2662,1,2,316.033282,316.033282
2664,1,4,1481.58564,1481.58564
2667,1,12,1675.505859,1675.505859
2671,8,29,7303.816793,6046.437715
2673,1,2,1215.173269,1215.173269
2674,1,1,1370.428137,1370.428137
2675,2,39,10236.00856,6794.66369
2677,1,1,1318.638893,1318.638893
2678,1,30,5300.385239,2650.192619
2680,1,2,4225.209522,2112.604761
2683,7,68,9242.492872,9242.492872
2687,3,26,32828.52858,32828.52858
2689,1,1,296.743797,296.743797
2692,11,542,12327.90085,11966.43267
2693,1,7,1826.859294,1826.859294
2694,1,12,605.9974275,605.9974275
2695,1,3,555.1618799,555.1618799
2702,17,594,135181.3362,126629.5747
2707,2,22,898.8826735,898.8826735
2708,10,236,26094.37836,26094.37836
2712,1,2,544.5742097,544.5742097
2713,1,1,1461.209956,1461.209956
2717,2,14,3814.428383,2668.620981
2722,2,22,6925.620537,4135.653107
2724,1,27,8945.943269,8945.943269
2728,12,83,19735.73508,20019.41215
2729,1,2,1411.023317,1411.023317
2734,1,3,1740.48395,1740.48395
2735,1,16,2414.902496,2414.902496
2736,1,13,1916.704612,1916.704612
2740,1,37,3572.86784,3572.86784
2744,1,4,469.201438,469.201438
2746,1,1,256.587493,256.587493
2750,2,24,4265.129249,4265.129249
2758,2,23,8889.878106,5824.259633
2760,1,1,1233.117015,1233.117015
2768,19,486,48202.56115,36615.7705
2769,1,6,1302.655203,1302.655203
2771,1,1,3854.021347,1927.010674
2777,2,16,5361.588406,3488.357528
2779,1,5,1402.747502,1402.747502
2790,2,16,4810.240677,3121.383745
2793,2,8,7803.404504,3901.702252
2794,2,8,7803.404504,3901.702252
2796,5,167,39702.34363,38840.05104
2801,4,124,7669.311422,3148.230559
2803,1,7,2050.177352,1025.088676
2809,7,181,88211.48727,35595.52787
2811,1,2,883.7424603,883.7424603
2813,1,2,918.8615792,918.8615792
2815,2,5,4613.630715,3357.468409
2817,1,88,801.4815172,801.4815172
2818,1,1,1081.752855,1081.752855
2819,1,10,1331.458193,1331.458193
2820,6,47,60312.58437,58328.04772
2821,7,36,5983.472594,4632.919486
2824,6,46,8265.075097,8265.075097
2827,16,455,92847.72113,91961.59535
2833,1,2,2325.23309,1162.616545
2837,1,3,2254.266705,2254.266705
2839,2,36,21406.13766,10703.06883
2840,7,154,22757.74317,22757.74317
2842,1,2,2279.454245,2279.454245
2844,1,14,1993.895301,1993.895301
2845,4,67,5985.064073,4584.175345
2846,1,2,985.3070389,985.3070389
2849,1,37,2124.296271,2124.296271
2851,1,5,895.0968739,895.0968739
2852,1,4,525.6921009,525.6921009
2857,1,5,2113.75512,2113.75512
2858,1,2,561.374795,561.374795
2859,1,2,2554.081442,1277.040721
2861,1,1,1071.19906,1071.19906
2863,1,9,11575.25825,5787.629124
2865,1,9,1086.257035,1086.257035
2866,2,9,3747.66606,2530.966914
2868,2,14,20979.31347,11245.7203
2874,23,169,31383.39247,26526.27007
2877,1,8,4092.471801,2046.2359
2879,2,10,5007.718647,3184.890997
2882,1,3,2642.669091,1321.334546
2883,1,5,1468.334005,1468.334005
2887,1,4,3104.833011,3104.833011
2890,2,30,7688.029873,5341.956262
2891,2,10,1488.535739,1249.444084
2896,2,16,3840.447418,1467.84101
2900,1,4,15689.13982,7844.569909
2902,2,31,21260.46992,10630.23496
2907,2,21,3739.183586,2070.027803
2910,1,2,3019.376366,1509.688183
2920,1,32,5128.161203,5128.161203
2922,1,5,1707.438601,1707.438601
2929,1,10,6288.341991,6288.341991
2942,1,1,1123.933578,1123.933578
2943,3,7,2152.290502,2152.290502
2950,1,8,1143.944672,1143.944672
2952,2,22,5109.450749,5109.450749
2953,2,23,2628.00731,2628.00731
2958,2,111,18650.5594,18650.5594
2959,4,41,3336.738016,3336.738016
2960,1,1,931.306804,931.306804
2961,3,80,7055.291958,7055.291958
2971,18,448,39696.3645,36754.21054
2977,1,1,940.902475,940.902475
